dates,names,monthly_listeners,popularity,followers,genres,first_release_year,last_release_year,playlists_found
2024-04-05,kim cesarion,406276.0,44,36771,"swedish pop, swedish soul",2013,2024,Made in Sweden
2024-04-05,katy lavinia cooper,0.0,0,0,,2024,2024,Classical New Releases
2024-04-05,jem cooke,1942726.0,55,14291,neo-singer-songwriter,2011,2024,Night Rider
2024-04-05,ksmartboi,10917.0,23,2387,korean hyperpop,2020,2023,KrOWN
2024-04-05,m. ward,641717.0,49,211472,"alternative country, chamber pop, portland indie, singer-songwriter, stomp and holler",1999,2023,Infinite Indie Folk
2024-04-05,ari bald & cj scott,5754.0,13,100,,2023,2024,New Music Friday Sweden
2024-04-05,twinnie,60685.0,30,9285,country pop,2020,2024,Wild Country
2024-04-05,mogli,683585.0,50,142290,german indie folk,2017,2024,Deep House Relax
2024-04-05,rjmrla,998097.0,54,135828,cali rap,2013,2024,Westside Story
2024-04-05,doil,27846.0,24,945,,2022,2024,Dubstep Don
2024-04-05,daddy yankee,50861851.0,86,33381898,"latin hip hop, reggaeton, trap latino, urbano latino",2002,2024,Fest!
2024-04-05,elsa pelling,191387.0,39,226,,2020,2023,Peaceful Guitar
2024-04-05,bryan mg,984528.0,53,47003,"dutch hip hop, dutch rap pop",2018,2024,Summer Vibes
2024-04-05,yonatan awate,308943.0,44,1229,sleep,2019,2022,Peace
2024-04-05,aukai,374439.0,48,33156,"neo-classical, new tribe",2016,2024,Classical New Releases
2024-04-05,the boyz,1354471.0,61,2850100,"k-pop, k-pop boy group",2020,2024,Hallyu Boy Bands
2024-04-05,lekaye,102419.0,38,968,,2024,2024,100
2024-04-05,bonno neo,108873.0,37,130,,2022,2023,Guitar for Sleep
2024-04-05,airin,66454.0,31,86,,2022,2024,Peace
2024-04-05,shockone,470885.0,47,60201,"australian dance, dancefloor dnb",2013,2024,creamy
2024-04-05,lil dann,463994.0,45,7154,,2020,2024,Get Turnt
2024-04-05,ava silver,471602.0,44,1977,,2022,2024,Trance Mission
2024-04-05,buddha-bar,1254679.0,50,217517,world chill,2015,2024,Deep House Relax
2024-04-05,hatha priya,895157.0,52,624,sleep,2021,2024,DayDreamer
2024-04-05,luedji luna,1109003.0,54,205884,"afrofuturismo brasileiro, nova mpb",2017,2024,R&B Weekly
2024-04-05,the purge,476145.0,50,26159,rawstyle,2022,2024,Hardstyle Bangers
2024-04-05,theodor ros,86887.0,43,113,instrumental lullaby,2021,2024,Guitar for Sleep
2024-04-05,palaye royale,1597757.0,61,682293,"modern alternative rock, vegas indie",2016,2024,VOLUME
2024-04-05,tuneboy,957790.0,53,36153,"classic hardstyle, euphoric hardstyle",2017,2023,Hardstyle Bangers
2024-04-05,tobi lou,1318100.0,60,411379,"chicago rap, indie hip hop, indie r&b",2018,2024,Alternative Hip-Hop
2024-04-05,pimrypie,16500.0,19,10335,thai viral pop,2020,2023,K-Pop X-Overs
2024-04-05,sasha alex sloan,9099363.0,68,1448495,alt z,2020,2024,Folk Pop
2024-04-05,evan honer,2335146.0,61,77459,,2022,2024,Indigo
2024-04-05,domenico scarlatti,711314.0,51,147450,"baroque, classical, early music, italian baroque",2023,2024,Classical New Releases
2024-04-05,fleet foxes,4375859.0,64,1338833,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler",2008,2022,wanderlust
2024-04-05,scene queen,890264.0,54,231586,alt z,2020,2024,Hard Rock
2024-04-05,tom ellenhag,157876.0,38,1182,chill guitar,2017,2024,Peaceful Guitar
2024-04-05,rico nasty,2686425.0,63,1089895,"alternative r&b, trap queen",2017,2024,Alternative Hip-Hop
2024-04-05,groove aspect,67748.0,31,195,,2023,2024,Nasty Bits
2024-04-05,ooooklart,79165.0,33,672,,2019,2024,30 km/h
2024-04-05,mac j,79286.0,40,24858,cali rap,2019,2023,Westside Story
2024-04-05,aida lae,23157.0,23,1298,,2020,2024,New Music Friday Sweden
2024-04-05,miggy dela rosa,7452839.0,64,9262,"dance pop, pop dance",2017,2023,Dance Party
2024-04-05,søren jeremiassen,137434.0,39,801,calming instrumental,2020,2023,SPA Treatment
2024-04-05,finneas,7654192.0,67,1931571,"alt z, la indie, pop, pov: indie",2018,2022,Chill Pop
2024-04-05,nimt,131410.0,40,1288,,2024,2024,Made in Sweden
2024-04-05,chicago,9604467.0,69,3976158,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",1986,2023,All Out 80s
2024-04-05,keane,18046812.0,73,3284145,"neo mellow, piano rock, pop rock",2004,2024,wanderlust
2024-04-05,prime8,196451.0,39,387,lo-fi jazzhop,2021,2024,Jazz Vibes
2024-04-05,errol allen,63766.0,40,2706,anime rap,2020,2024,The Flow
2024-04-05,yosuf,1292280.0,56,67306,gym hardstyle,2022,2024,Hardstyle Bangers
2024-04-05,tara rossi,77357.0,33,42,,2021,2024,SPA Treatment
2024-04-05,1da banton,2169146.0,57,187850,"afrobeats, nigerian pop",2021,2024,Big Mood
2024-04-05,butter,38333.0,27,2907,,2022,2024,Nasty Bits
2024-04-05,grandson,4450724.0,65,1133292,"modern alternative rock, modern rock, rock",2020,2023,Rocktronic
2024-04-05,journey,18853506.0,74,5364019,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock",1975,2023,Fest!
2024-04-05,eric le sage,214540.0,39,2808,"classical piano, french classical piano",2017,2023,Classical New Releases
2024-04-05,2 engel & charlie,2148132.0,60,11391,hypertechno,2022,2024,Hardstyle Bangers
2024-04-05,young lyxx,97434.0,34,673,new orleans rap,2016,2024,Nasty Bits
2024-04-05,embertone,447111.0,46,227,,2023,2024,Ambient Relaxation
2024-04-05,t.check,708386.0,48,772,lo-fi jazzhop,2009,2024,Jazz Vibes
2024-04-05,idzi kowalczyk,120891.0,36,371,,2019,2023,Rise
2024-04-05,buddha monk,3135.0,57,15757,wu fam,1998,2024,Gold School
2024-04-05,mark ambor,9915587.0,71,269289,singer-songwriter pop,2019,2024,Daily Lift
2024-04-05,arctic monkeys,50589155.0,86,24058026,"garage rock, modern rock, permanent wave, rock, sheffield indie",2006,2022,Spela Shoreline!
2024-04-05,brand of sacrifice,700367.0,52,178968,"deathcore, melodic metalcore, slamming deathcore, symphonic deathcore",2018,2023,Kickass Metal
2024-04-05,christina aguilera,26127708.0,77,8071594,"dance pop, pop",1999,2023,Alone Again
2024-04-05,phyno,1173070.0,56,664454,"afrobeats, afropop, igbo pop, igbo rap, nigerian hip hop, nigerian pop",2014,2024,Big Mood
2024-04-05,twelve,363967.0,46,3247,,2020,2024,New Music Friday Sweden
2024-04-05,logic1000,875337.0,50,47445,ukg revival,2021,2024,mint
2024-04-05,searows,1272262.0,57,110724,indie pop,2022,2024,Infinite Indie Folk
2024-04-05,the driver era,1318374.0,59,687625,modern alternative rock,2019,2024,The New Alt
2024-04-05,enika moerani,17746.0,21,194,,2020,2024,Cool Down
2024-04-05,"earth, wind & fire",21668697.0,73,4184441,"disco, funk, jazz funk, soul",1975,2019,All Out 80s
2024-04-05,slander,6265675.0,65,485476,dubstep,2022,2024,Rocktronic
2024-04-05,max styler,615527.0,48,28517,"brostep, tech house",2016,2024,Housewerk
2024-04-05,5 seconds of summer,24434625.0,77,9832199,"boy band, pop",2014,2024,Daily Lift
2024-04-05,jigitz,202640.0,38,4531,,2018,2024,creamy
2024-04-05,nahla cline,277820.0,44,144,,2021,2024,Peace
2024-04-05,good problem,117958.0,38,12607,,2021,2024,Rocktronic
2024-04-05,slimmy b,26333.0,36,75841,cali rap,2018,2024,Westside Story
2024-04-05,phoebe bridgers,10569740.0,78,2305649,"indie pop, la indie, pov: indie",2017,2023,wanderlust
2024-04-05,amelia moore,529843.0,47,100557,,2021,2024,R&B Weekly
2024-04-05,lorleaf,429346.0,46,1040,lo-fi jazzhop,2023,2024,Jazz Vibes
2024-04-05,blademasterz,371752.0,45,7008,classic hardstyle,2006,2024,Hardstyle Bangers
2024-04-05,bigbreeze,192105.0,44,15890,"christian hip hop, christian trap",2018,2024,The Flow
2024-04-05,rosie,2560372.0,58,142297,alt z,2019,2024,Contemporary Blend
2024-04-05,auguste henrique,21239.0,24,1107,chill guitar,2017,2023,DayDreamer
2024-04-05,aquatic dreamer,297802.0,46,534,,2022,2024,Rise
2024-04-05,kdh,215930.0,39,4605,,2019,2024,Nasty Bits
2024-04-05,zeph,4161059.0,61,168814,gen z singer-songwriter,2018,2023,Chill Pop
2024-04-05,gardenstate,979932.0,50,19018,melodic house,2021,2023,Summer House 2024
2024-04-05,dieter huber,273583.0,44,452,chill guitar,2020,2024,Peaceful Guitar
2024-04-05,set it off,3330409.0,66,932756,"electropowerpop, otacore, pixie, pov: indie",2011,2024,VOLUME
2024-04-05,biff,5034.0,12,373,melbourne punk,2019,2024,All New Punk
2024-04-05,dj isaac,931525.0,51,77991,"australian dance, classic hardstyle, euphoric hardstyle, gabber, happy hardcore",2017,2024,Hardstyle Bangers
2024-04-05,nothing more,1698126.0,60,419208,post-grunge,2009,2024,Kickass Metal
2024-04-05,wasiu,926970.0,50,11154,canadian hip hop,2015,2023,Dubstep Don
2024-04-05,kaleidoscope chamber collective,3113.0,9,349,chamber ensemble,2021,2024,Classical New Releases
2024-04-05,blueface,4070606.0,66,6647674,"cali rap, rap, trap",2018,2024,Westside Story
2024-04-05,anamē,1256457.0,53,14470,melodic house,2022,2024,Summer House 2024
2024-04-05,air supply,6378875.0,69,4222613,soft rock,1980,2019,Alone Again
2024-04-05,emmit fenn,4819192.0,64,211529,chill house,2017,2024,Chill Tracks
2024-04-05,kaskade,4883970.0,65,929614,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house",2009,2023,Deep House Relax
2024-04-05,ghvstclub,7437.0,24,1072,,2022,2024,KrOWN
2024-04-05,clarx,795352.0,51,47718,gaming edm,2021,2024,Rocktronic
2024-04-05,from ashes to new,1893744.0,62,491580,rap rock,2016,2024,Kickass Metal
2024-04-05,playboi carti,58723205.0,89,10352035,"atl hip hop, plugg, pluggnb, rage rap, rap",2017,2024,Pop Right Now
2024-04-05,whitney houston,25975325.0,76,9905218,"dance pop, pop",1985,2023,Fest!
2024-04-05,the menstrual cramps,17521.0,21,10618,"bristol indie, riot grrrl",2017,2024,All New Punk
2024-04-05,villagers,1437921.0,53,239768,"chamber pop, indie folk, irish rock",2009,2024,Indie Shuffle
2024-04-05,times are changin',2238.0,7,96,,2020,2023,Rise
2024-04-05,luminique revox,241963.0,42,0,,2024,2024,Cool Down
2024-04-05,hannah ellis,291073.0,41,35388,country pop,2017,2024,Women of Country
2024-04-05,sash!,5923393.0,64,156598,"eurodance, german techno",1997,2023,Dance Party
2024-04-05,men's tear,73198.0,35,2595,,2022,2024,KrOWN
2024-04-05,mwuana,367882.0,46,27785,"swedish dancehall, swedish hip hop, swedish trap pop",2017,2024,100
2024-04-05,harvey lanza,503360.0,46,212,,2021,2022,Stress Relief
2024-04-05,lyod,740732.0,49,8036,,2021,2024,Chill Tracks
2024-04-05,putriani mulyadi,274.0,16,22,,2024,2024,Indie Shuffle
2024-04-05,big tone,47148.0,39,36428,"bay area hip hop, hyphy",2011,2023,Nasty Bits
2024-04-05,model man,309807.0,42,23261,uk dance,2021,2024,Deep House Relax
2024-04-05,kayzo,1248210.0,54,227146,"brostep, speed house",2018,2024,Rocktronic
2024-04-05,angrybaby,516102.0,47,11835,stutter house,2022,2024,New Music Friday Dance
2024-04-05,pusha t,5396354.0,73,2888060,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",2011,2024,Gold School
2024-04-05,mk,9267415.0,68,292621,"house, pop dance",2016,2024,Housewerk
2024-04-05,sickmode,1298506.0,59,96872,gym hardstyle,2019,2024,Hardstyle Bangers
2024-04-05,alexandra stan,6716829.0,63,368242,romanian pop,2011,2024,New Dance Pop
2024-04-05,nikki lane,501808.0,46,74125,"alternative country, new americana, outlaw country",2011,2023,Indigo
2024-04-05,emme,264424.0,41,1941,,2020,2024,soda
2024-04-05,sunflwr,701061.0,51,19902,,2022,2024,Chill Tracks
2024-04-05,kim van loo,1484.0,31,158,,2023,2023,Deep House Relax
2024-04-05,lauren daigle,5989130.0,69,2684923,"ccm, christian alternative rock, christian music",2015,2024,Dinner with Friends
2024-04-05,aza nabuko,22131.0,23,1215,,2018,2023,Trance Mission
2024-04-05,maple glider,226422.0,40,23802,indie folk,2020,2023,Infinite Indie Folk
2024-04-05,clara la san,3072531.0,62,170375,,2017,2024,R&B Weekly
2024-04-05,baby b,52624.0,31,9805,,2020,2024,R&B Weekly
2024-04-05,julia temos,112454.0,34,478,,2021,2024,Nasty Bits
2024-04-05,spiffy the goat,75496.0,30,6242,,2020,2024,Workout Twerkout
2024-04-05,rvshvd,1164261.0,54,105194,"black americana, modern country pop",2020,2024,Wild Country
2024-04-05,kuami eugene,392152.0,50,299097,"afrobeats, asakaa, azonto, hiplife",2018,2024,African Heat
2024-04-05,avery anna,2031100.0,57,109362,"alt z, modern country pop, singer-songwriter pop",2021,2024,Breakout Country
2024-04-05,the human league,6415525.0,63,1120342,"new romantic, new wave, new wave pop, permanent wave, sophisti-pop, synthpop",1979,2023,All Out 80s
2024-04-05,bad omens,5374307.0,73,1183149,american metalcore,2016,2024,Kickass Metal
2024-04-05,protoculture,243988.0,42,39537,"progressive house, progressive trance, psychedelic trance, trance, uplifting trance",2003,2024,Trance Mission
2024-04-05,galwaro,973307.0,49,16811,melbourne bounce international,2021,2024,Hardstyle Bangers
2024-04-05,oscar maydon,19833483.0,84,1292004,"corrido, corridos tumbados, sierreno",2022,2024,Viva Latino
2024-04-05,nelly furtado,26277905.0,77,3770071,"canadian latin, canadian pop, dance pop, pop",2000,2024,Fest!
2024-04-05,di genius,702036.0,51,7521,riddim,2011,2023,Hot Rhythmic
2024-04-05,drxnk,510453.0,46,781,"lo-fi jazzhop, lo-fi study",2021,2023,Jazz Vibes
2024-04-05,steve edwards,1252705.0,65,4364,,2015,2023,Summer House 2024
2024-04-05,ajebo hustlers,596988.0,52,380766,"afrobeats, nigerian pop",2021,2024,Afro Bars 
2024-04-05,radioaktiva räker,13850.0,22,5324,"swedish punk, trallpunk",1994,2003,Svensk Punk
2024-04-05,soflux,159674.0,35,9,lo-fi jazzhop,2024,2024,Jazz Vibes
2024-04-05,austin farwell,3637260.0,64,116161,ambient lo-fi,2022,2024,wanderlust
2024-04-05,tinlicker,5785957.0,65,204222,melodic house,2012,2024,Summer House 2024
2024-04-05,da tweekaz,2153888.0,61,293254,"classic hardstyle, euphoric hardstyle",2012,2024,Hardstyle Bangers
2024-04-05,webmoms,174096.0,39,1322,"indie r&b, lo-fi jazzhop",2022,2024,Jazz Vibes
2024-04-05,godsmack,5099565.0,68,3162907,"alternative metal, nu metal, post-grunge, rap metal",1998,2023,VOLUME
2024-04-05,shout out louds,102342.0,36,58564,"swedish alternative rock, swedish indie rock",2005,2024,Spela Shoreline!
2024-04-05,moneysign suede,665224.0,62,149466,,2022,2024,Westside Story
2024-04-05,imperial atlas,560877.0,51,323,,2021,2024,Rise
2024-04-05,strebers,12317.0,23,6389,"swedish punk, trallpunk",1990,2016,Svensk Punk
2024-04-05,soi,8942.0,19,209,,2020,2024,Indie Shuffle
2024-04-05,tion wayne,6343751.0,66,1017685,"london rap, uk hip hop",2014,2024,Afro Bars 
2024-04-05,alyssa micaela,12626.0,18,13051,"country pop, texas country",2016,2023,Texas Country Now
2024-04-05,sumac,9669.0,21,36470,"atmospheric sludge, drone metal, gaian doom, post-doom metal, post-metal, sludge metal, stoner metal, vancouver metal",2016,2024,All New Metal
2024-04-05,aloe blacc,4122681.0,64,703358,"pop soul, r&b",2005,2024,Summer Sunshine Reggae
2024-04-05,psyko punkz,467658.0,48,96241,"classic hardstyle, euphoric hardstyle, rawstyle",2017,2024,Hardstyle Bangers
2024-04-05,antonio vivaldi,6399656.0,71,2432119,"baroque, classical, early music, italian baroque",2023,2024,Classical New Releases
2024-04-05,peter bjorn and john,4308052.0,61,380742,"alternative dance, baroque pop, dance-punk, indie rock, modern rock, new rave, swedish alternative rock, swedish indie pop",2002,2023,Spela Shoreline!
2024-04-05,franz ferdinand,7663458.0,66,2574424,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock",2004,2022,Spela Shoreline!
2024-04-05,stalley,312046.0,44,191974,"alternative hip hop, ohio hip hop",2012,2022,Spilled Ink
2024-04-05,eli brown,3810837.0,62,109034,"house, tech house, uk dance",2021,2024,Dance Party
2024-04-05,bedouine,308073.0,44,94286,"chamber folk, chamber pop, countrygaze",2017,2023,Infinite Indie Folk
2024-04-05,iu,7491897.0,73,8471735,"k-pop, pop",2009,2024,Satang Mix (사탕 믹스)
2024-04-05,seafret,12399648.0,69,940769,folk-pop,2016,2023,Pop Right Now
2024-04-05,apashe,2289384.0,60,357954,bass trap,2020,2023,Rocktronic
2024-04-05,maria die ruhe,119946.0,34,5602,,2022,2024,Deep House Relax
2024-04-05,silverstein,1439495.0,57,700012,"canadian post-hardcore, canadian rock, metalcore, neon pop punk, pop emo, pop punk, post-hardcore, screamo",2003,2024,Rocktronic
2024-04-05,andreas moe,190697.0,39,27241,"swedish indie pop, swedish singer-songwriter",2015,2024,Made in Sweden
2024-04-05,vince staples,4437698.0,67,1848468,"conscious hip hop, hip hop, rap, underground hip hop",2014,2022,Spilled Ink
2024-04-05,stephan jolk,454788.0,45,47181,melodic techno,2019,2024,Deep House Relax
2024-04-05,dakota,4920103.0,61,12560,,2016,2024,Tech House Operator
2024-04-05,we are messengers,2066463.0,60,266298,"ccm, christian alternative rock, christian music",2016,2024,New Music Friday
2024-04-05,golden horses,185642.0,40,328,,2021,2023,Guitar for Sleep
2024-04-05,ghost etiquette,31944.0,26,842,,2020,2024,Trance Mission
2024-04-05,fairlane,469644.0,47,33475,"melodic dubstep, pop edm",2021,2024,Rocktronic
2024-04-05,25,179541.0,42,6717,swedish trap pop,2022,2024,100
2024-04-05,mgk,14380839.0,79,5200121,"ohio hip hop, pop rap",2012,2024,Daily Lift
2024-04-05,lauren mayberry,66875.0,30,15050,,2019,2024,soda
2024-04-05,bad at,971.0,8,549,,2023,2024,KrOWN
2024-04-05,dirty loops,220258.0,45,207217,"electric bass, jazz funk, modern funk",2014,2024,Made in Sweden
2024-04-05,lost boy,226693.0,40,6042,,2021,2024,Night Rider
2024-04-05,seventeen,6395724.0,79,11124048,"k-pop, k-pop boy group",2016,2024,Hallyu Boy Bands
2024-04-05,dean,2075146.0,63,1449634,"k-pop, korean r&b",2015,2023,K-Pop X-Overs
2024-04-05,josh ross,4105686.0,65,78481,modern country pop,2019,2024,Breakout Country
2024-04-05,galleriet,21086.0,25,815,,2022,2024,Made in Sweden
2024-04-05,bas,4621396.0,65,560894,"canadian hip hop, indie hip hop, queens hip hop, rap, sudanese hip hop, sudanese pop, underground hip hop",2014,2023,Alternative Hip-Hop
2024-04-05,teo walter,46258.0,30,75,,2021,2023,Atmospheric Calm
2024-04-05,ke personajes,12728599.0,78,3523318,cumbia pop,2019,2024,Viva Latino
2024-04-05,twilight place,76984.0,32,28,,2023,2023,Peaceful Guitar
2024-04-05,antologie,230500.0,42,4176,"background music, focus",2018,2024,SPA Treatment
2024-04-05,penny and sparrow,539101.0,49,113210,"acoustic pop, indie folk, indiecoustica, stomp and flutter, stomp and holler",2013,2024,Infinite Indie Folk
2024-04-05,tim green,225019.0,41,29997,"melodic house, organic house",2013,2024,Deep House Relax
2024-04-05,carligo,233206.0,43,110,sleep,2021,2023,SPA Treatment
2024-04-05,johan helmich roman,20122.0,25,1934,"galante era, swedish classical",2010,2023,Classical New Releases
2024-04-05,parra for cuva,2243477.0,58,184403,"deep euro house, downtempo, new french touch",2015,2024,Deep House Relax
2024-04-05,crash nomada,3419.0,13,1268,gypsy punk,2012,2023,Svensk Punk
2024-04-05,mnrt,397037.0,43,785,,2023,2024,Chill Tracks
2024-04-05,clams casino,6974105.0,70,282154,"cloud rap, experimental hip hop, instrumental hip hop, psychedelic hip hop",2011,2023,Alternative Hip-Hop
2024-04-05,loufish,560878.0,46,361,lo-fi jazzhop,2022,2024,Jazz Vibes
2024-04-05,janus rasmussen,356848.0,45,13901,icelandic electronic,2019,2024,Deep House Relax
2024-04-05,oliver schories,491440.0,47,110578,"deep euro house, hamburg electronic, minimal techno",2012,2024,Deep House Relax
2024-04-05,callie reiff,8770.0,17,3143,,2016,2024,Nasty Bits
2024-04-05,kuselofte,442373.0,50,30542,russelater,2020,2024,30 km/h
2024-04-05,max milner,475153.0,44,15160,,2015,2023,Chill Tracks
2024-04-05,soothing buzz,390337.0,44,250,,2023,2024,Cool Down
2024-04-05,uncle lucius,1603463.0,55,123241,"classic texas country, modern southern rock, roots rock",2006,2023,Indigo
2024-04-05,ms. lauryn hill,15746447.0,73,2788696,"alternative r&b, conscious hip hop, hip hop, neo soul, new jersey rap, r&b",1996,2019,Gold School
2024-04-05,wiz khalifa,33637810.0,81,10901085,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",2014,2023,Summer Sunshine Reggae
2024-04-05,tchami,2040663.0,57,407324,"deep groove house, edm, electro house, future house, house, pop dance, progressive house",2018,2024,Nasty Bits
2024-04-05,tayson kryss,7282203.0,66,2568,,2022,2024,Summer House 2024
2024-04-05,guns n' roses,29929336.0,79,30295534,"glam metal, hard rock, rock",1987,2023,Fest!
2024-04-05,kenia os,7816402.0,74,4575373,"latin viral pop, urbano mexicano",2022,2024,Daily Lift
2024-04-05,reyna roberts,6487508.0,65,31675,black americana,2019,2023,Women of Country
2024-04-05,kåren,498570.0,49,2724,epa dunk,2020,2023,30 km/h
2024-04-05,viro marix,83012.0,33,62,,2022,2024,Ambient Relaxation
2024-04-05,frida öhrn,46708.0,31,5233,"swedish electropop, swedish folk pop",2007,2024,Made in Sweden
2024-04-05,elviras,139058.0,37,310,,2020,2023,Ambient Relaxation
2024-04-05,gaia rosica,166458.0,40,258,healing hz,2021,2023,SPA Treatment
2024-04-05,matt maltese,7760013.0,69,530914,"indie anthem-folk, indie pop, pov: indie",2018,2024,Indie Shuffle
2024-04-05,les agathes,20062.0,22,63,,2021,2023,Musical Therapy
2024-04-05,shyboiitobii,19047.0,34,5201,korean drill,2022,2024,KrOWN
2024-04-05,selma ström,56507.0,30,189,sleep,2020,2024,Rise
2024-04-05,christian löffler,1022915.0,54,271329,"electronica, hamburg electronic, organic electronic, pop ambient",2012,2024,Deep House Relax
2024-04-05,mr. big,2969836.0,58,600937,"glam metal, hard rock",1989,2018,Dinner with Friends
2024-04-05,kenya vaun,170852.0,39,38736,,2018,2024,Chill Pop
2024-04-05,dizzyeight,245010.0,54,71591,anime rap,2016,2024,The Flow
2024-04-05,re6ce,614206.0,50,51619,bedroom r&b,2021,2024,All New Punk
2024-04-05,x ambassadors,13802040.0,71,2973007,"modern alternative rock, modern rock, stomp pop",2013,2024,wanderlust
2024-04-05,edwin maled,62279.0,31,94,,2020,2023,Atmospheric Calm
2024-04-05,camidoh,1072987.0,51,226726,"afro r&b, afrobeats, ghanaian pop",2022,2024,Summer Vibes
2024-04-05,ellen krauss,577612.0,54,26067,swedish pop,2019,2024,Made in Sweden
2024-04-05,vernon,312122.0,45,330529,,2015,2023,K-Pop X-Overs
2024-04-05,stevie j,213432.0,59,1478,,2010,2021,Confidence Boost
2024-04-05,dina ögon,319930.0,50,37814,swedish jazz,2021,2024,New Music Friday Dance
2024-04-05,jakub józef orliński,92007.0,38,54272,baroque singing,2018,2024,Classical New Releases
2024-04-05,surf mesa,4490877.0,61,169783,pop edm,2019,2024,Chill Tracks
2024-04-05,marsyas baroque,0.0,0,6,,2024,2024,Classical New Releases
2024-04-05,ozo nakuru,330972.0,43,211,,2021,2023,Cool Down
2024-04-05,passenger,15715109.0,71,3257277,"folk-pop, neo mellow",2007,2023,Alone Again
2024-04-05,celestial aura,11434.0,18,66,,2023,2024,Peace
2024-04-05,vanessa carlton,6305164.0,64,615363,"lilith, neo mellow, piano rock, pop rock, post-teen pop",2002,2023,Dinner with Friends
2024-04-05,being as an ocean,226272.0,44,176359,"melodic hardcore, metalcore",2012,2024,Kickass Metal
2024-04-05,gouge away,119442.0,40,46064,"diy emo, florida hardcore, indie punk, modern hardcore, modern melodic hardcore",2016,2024,All New Punk
2024-04-05,discrete,373794.0,42,22230,,2020,2024,New Music Friday Dance
2024-04-05,wax motif,1448229.0,54,106277,"bass house, electro house, tech house",2021,2023,Housewerk
2024-04-05,lil darius,235605.0,42,45661,,2022,2024,B.A.E.
2024-04-05,ønemor3,364870.0,46,183,,2023,2024,Jazz Vibes
2024-04-05,lauren watkins,1051002.0,52,13325,modern country pop,2023,2024,Women of Country
2024-04-05,richard marx,5401493.0,66,1291051,"new wave pop, soft rock",1987,2023,All Out 80s
2024-04-05,juliet,18479.0,19,442,,2021,2024,Indie Shuffle
2024-04-05,sykes,191177.0,48,13632,,2023,2024,African Heat
2024-04-05,post malone,61988704.0,88,43392993,"dfw rap, melodic rap, pop, rap",2016,2023,Daily Lift
2024-04-05,sunwich,35965.0,31,8498,"indonesian indie, indonesian indie pop",2019,2024,Indie Shuffle
2024-04-05,tobias haunhorst,21.0,0,23,,2019,2024,Classical New Releases
2024-04-05,bfb da packman,485403.0,51,71638,"detroit hip hop, flint hip hop",2019,2024,Out The Mud
2024-04-05,benjamin rhey,592384.0,48,454,,2019,2024,Rise
2024-04-05,helsloot,5027290.0,62,24732,"house, melodic house",2021,2024,Summer House 2024
2024-04-05,leif vollebekk,1096785.0,53,113370,"canadian americana, indie folk, modern indie folk, quebec indie, stomp and flutter",2010,2022,Infinite Indie Folk
2024-04-05,kacey musgraves,27187054.0,80,1376177,"classic texas country, contemporary country, country dawn",2013,2024,Indigo
2024-04-05,ono1,165289.0,36,752,lo-fi jazzhop,2023,2024,Jazz Vibes
2024-04-05,ovan,149791.0,40,81336,"k-rap, korean r&b",2019,2024,KrOWN
2024-04-05,abril iluso,159369.0,41,31,,2022,2023,DayDreamer
2024-04-05,ta thomas,45048.0,28,5549,,2023,2024,R&B Weekly
2024-04-05,nico de andrea,976258.0,51,30011,melodic house,2022,2024,Deep House Relax
2024-04-05,nardn,26044.0,33,4372,swedish pop rap,2022,2024,Made in Sweden
2024-04-05,maino,610447.0,47,192738,,2008,2024,State of Mind
2024-04-05,anthony b,828163.0,51,313592,"dancehall, lovers rock, modern reggae, reggae, roots reggae",2012,2023,Summer Sunshine Reggae
2024-04-05,tom petty,10937588.0,69,2484074,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",1979,2021,All Out 80s
2024-04-05,jenna davis,132211.0,40,281988,social media pop,2016,2023,Wild Country
2024-04-05,maximus,133149.0,39,17270,swedish pop rap,2023,2024,30 km/h
2024-04-05,doppenberg,112742.0,38,3297,dutch trance,2018,2024,Trance Mission
2024-04-05,turbo,922209.0,50,19288,,2020,2023,No Cap
2024-04-05,meodna,188213.0,44,98,,2022,2024,Atmospheric Calm
2024-04-05,drake milligan,831804.0,53,163448,,2021,2024,Texas Country Now
2024-04-05,tebza de dj,343212.0,41,20973,quantum sound,2019,2024,Big Mood
2024-04-05,amanda kate ferris,7338.0,19,3456,texas country,2019,2024,Texas Country Now
2024-04-05,katie pruitt,231746.0,41,49928,nashville americana,2018,2024,New Music Friday
2024-04-05,kaitlin butts,1109144.0,53,38596,"classic texas country, red dirt, texas country",2015,2024,Indigo
2024-04-05,soja,2241008.0,62,1075793,"east coast reggae, reggae",2000,2024,Summer Sunshine Reggae
2024-04-05,kikolu,25165.0,23,53,healing hz,2022,2024,DayDreamer
2024-04-05,lucy vincent,86994.0,34,1449,binaural,2018,2022,Atmospheric Calm
2024-04-05,21 savage,61577922.0,91,17910166,"atl hip hop, hip hop, rap",2016,2024,Alternative Hip-Hop
